body,actor,postID,likes,time,class,absTime,updateTime

"The ring... James?",charlem,1,2,-230:00,,,

"LITERALLY SLAYYYY 💖💖💖",its.kat,2,18,-71:00,,,
"You look amazing, Queen 👑✨✨",emfan_kelly,2,12,-71:00,,,
"nah this girl acting like she's on a Disney cruise when the whole school seen the private snaps 💀💀 sit down Kelly fr",real_jane,2,119,-0:34,,,
"no one deserves their stuff leaked... but maybe think twice before sending that kinda thing. ppl suck.",charlem,2,4,-0:33,,,
"Girl really out here giving Titanic vibes 🚢💏 ",justAGuy,2,330,-0:32,,,
"EVERYONE LITERALLY STOP. THIS IS NOT FUNNY AND I WILL CALL THE POLICE",emfan_kelly,2,12,-00:29,,,



"okay Mr. Motivation we see you 🔥",omar007,3,9,-2:40,,,
"looking good my guy",jackyates33,3,5,-1:00,,,
"Get over yourself Kyle. No one cares.",its.kat,3,4,-2:30,,,
"disgusting incel",emfan_kelly,3,12,-00:31,,,

"Queen bee and peaches? Tell me more!",msmiller_teacher,4,0,-0:33,,,
"DELETE THIS NOW.....🤮",its.kat,4,7,-0:32,,,
"Good job my man @Kyle",jackyates33,4,119,-0:31,,,
"Kyle are you sure this is the right thing...",omar007,3,9,-0:31,,,
"Now we see the REAL Queen Bee loll",real_jane,4,45,-0:31,,,
"what the ACTUAL hell is wrong with you??",charlem,4,1,-0:30,,,
"DELETE NOW OR ILL KILL YOU",emfan_kelly,4,12,-00:30,,,
"Emily. That's not nice language...",msmiller_teacher,4,0,-0:29,,,
"Not gonna lie… I clicked 💀",jamie4real,4,7,-0:27,,,
"Stop making shit up bro... I don't even know you",kylex_football,4,7,-0:20,,,
"Not you tryna act innocent now Kyle. You are both going down",real_jane,4,19,-0:17,,,
